item_code,on_hand_qty
30520393,65
30520400,71
30524027,1748
30524052,0
30527132,0
30527132,0
30527144,0
30527144,0
30530258,0
30530258,5
30530271,107
30540756,339
30541268,0
30541268,0
30541281,0
30541293,0
30541293,0
30541300,36
30542054,0
30542212,168
30542248,1583
30542698,0
30542698,212
30542893,0
30542893,0
30543289,0
30543356,0
30546564,62
30546655,68
30546667,0
30546667,73
30546692,0
30546692,0
30546771,83916
30546783,79620
30546850,0
30546850,0
30546904,0
30546904,0
30546930,0
30547970,0
30547970,0
30548020,0
30548070,0
30548070,0
30548720,0
30548731,35803.2
30548743,0
30548780,18
30548792,0
30548822,0
30548860,0
30548860,0
30548949,0
30548949,0
30548950,0
30548950,0
30550543,1798
30556065,0
30556065,4
30556077,0
30556077,0
30560147,7
30560779,37
30560822,0
30560822,0
30560834,0
30560834,0
30560871,0
30560871,236
30560883,0
30560883,0
30560895,0
30560901,0
30560925,0
30561115,162
30561188,0
30561188,0
30561206,127.671
30561498,536
30561620,71
30561875,0
30561875,0
30562144,0
30566095,0
30566095,0
30566381,35
30566496,159
30566563,25
30566575,3
30566599,0
30566605,2
30566666,47
30566680,477
30566708,0
30566708,0
30567841,119
30567932,14
30567944,0
30568018,0
30568018,0
30568020,0
30568080,3
30568109,0
30568109,0
30568110,0
30568122,0
30568122,0
30568134,17
30568160,0
30568160,0
30580869,15
30587281,159
30587311,12
30610345,0
30610345,0
30611398,652
30612317,0
30612317,0
30612329,0
30612676,2686
30612755,0
30612755,0
30612780,0
30612780,0
30612883,0
30612883,0
30612895,0
30613450,0
30613450,82
30613590,0
30613590,0
30613851,0
30614478,0
30614480,213
30614570,233
30614855,0
30614855,274
30615290,196
30615306,77
30615318,74
30615458,0
30615458,0
30615460,0
30616049,0
30616049,0
30616153,61
30616621,0
30616761,0
30616761,0
30616785,0
30616785,0
30616827,1656
30616840,7
30617157,0
30617169,0
30617455,78
30617716,0
30617819,0
30618605,0
30618654,0
30618654,0
30618666,0
30618666,0
30618745,620
30618769,0
30618769,0
30618770,0
30618770,0
30618794,575
30618824,0
30618824,0
30618836,0
30618836,0
30618848,4702
30618915,0
30618915,0
30618940,0
30618940,380
30618964,0
30620053,0
30627205,0
30630526,5
30630654,59
30631142,0
30631142,0
30631154,144
30631166,456
30631348,3193
30631350,0
30631350,0
30631361,51
30631373,815
30631385,0
30631385,79
30631397,13
30631415,72
30631427,292
30631452,7
30631476,10
30631488,9
30631506,20
30631543,20
30631555,24
30631567,0
30631580,19
30631660,2781
30631683,0
30631683,0
30631695,18
30631725,0
30631725,221
30631737,158
30631774,0
30631774,216
30631786,14
30631798,0
30632067,0
30632596,1108
30632780,0
30632780,0
30632780,1
30632791,0
30633072,25
30633138,353
30633310,9
30633643,279
30633667,20757
30633722,2371
30633746,2712
30634581,2607
30636024,33
30636140,23
30636176,0
30636188,46
30636218,19
30636607,0
30636607,0
30636644,163
30636863,60
30636980,0
30636980,0
30636991,266
30638665,0
30638987,15
30638999,176
30640568,5804
30640623,0
30640635,0
30640647,0
30640659,0
30640660,0
30640672,0
30640672,0
30640696,0
30640702,0
30640702,0
30640726,0
30640726,0
30640751,0
30640763,0
30640763,0
30640763,0
30640787,0
30640787,0
30640829,0
30640829,0
30640842,0
30640880,6
30640891,89
30640908,0
30640908,0
30640994,1396
30641020,0
30641068,0
30641068,0
30641070,1906
30641081,50
30641093,156
30641100,188
30641135,0
30641135,0
30641184,0
30641184,0
30641202,2745
30641214,0
30641214,0
30641226,0
30641238,0
30641240,2303
30641275,1322
30641287,0
30641287,0
30641317,0
30641342,1926
30641421,0
30641469,0
30642188,0
30642280,770
30642504,467
30642670,0
30642670,0
30642784,893
30642887,0
30642887,0
30643170,7430
30643259,0
30643259,0
30643478,827
30643480,0
30643480,0
30643491,18
30643510,189
30643545,0
30643545,0
30643569,0
30643612,0
30643673,346
30643685,0
30643685,0
30643697,0
30643727,17
30646017,13100
30646054,522
30646522,0
30646522,716
30646674,0
30646807,342
30646819,0
30646819,495
30646832,0
30646856,0
30646856,0
30646911,474
30647575,340
30648798,98.4
30648920,0
30648920,0
30649018,0
30649201,0
30649201,0
30649225,26
30649237,14
30649341,0
30649341,0
30649432,0
30649444,0
30649456,0
30649493,0
30649511,0
30649511,0
30649523,0
30649523,0
30649535,419
30649547,41
30649560,0
30649584,0
30649596,0
30649602,583
30649614,0
30649614,0
30649640,0
30649717,0
30649717,57
30649729,0
30649730,0
30649730,0
30649766,0
30649780,158
30649894,59
30649900,0
30649900,0
30649936,203
30660506,0
30662606,2523
30662667,0
30662667,0
30662680,0
30662680,0
30662783,3853
30662795,8
30662813,0
30662849,0
30662849,0
30662904,0
30662953,0
30662953,0
30663192,0
30663192,0
30663209,0
30663209,0
30663210,0
30663210,0
30663222,0
30663246,0
30663246,0
30663295,1
30663301,0
30663301,0
30663349,8
30666820,0
30666820,0
30666831,0
30666831,0
30666843,318
30666855,129
30666867,0
30666867,0
30666910,0
30666934,2
30666958,249
30666960,57
30667367,0
30667367,0
30667392,0
30667409,0
30667409,0
30667410,0
30667410,0
30670202,15554
30670214,439
30670536,11946
30670548,153
30670603,14713
30670615,1186
30674062,0
30674062,0
30674104,21
30674128,67
30674165,0
30674165,0
30674189,0
30674244,0
30674311,0
30674323,0
30674323,0
30676216,345
30676370,0
30676370,0
30676605,0
30676617,0
30676617,0
30676629,0
30676794,145
30676794,189
30676800,0
30676800,0
30676836,0
30676836,3
30676848,0
30676848,0
30676873,0
30676885,0
30676897,231
30676939,0
30676940,0
30676952,420
30676964,42
30676988,1522
30677014,661
30677026,0
30677038,6
30677051,0
30677075,0
30677105,0
30677105,0
30677439,0
30677439,0
30677592,8
30700012,0
30710054,1
30710066,449
30710108,0
30710108,8
30710212,0
30710546,77175
30710558,78930
30710613,64754
30710625,2096
30710765,64488
30710777,341327
30710790,1052
30710807,1145
30710819,9594
30710820,0
30710820,0
30710844,0
30710844,0
30710900,3512
30710911,4078
30710959,0
30710959,0
30711769,0
30711769,0
30711836,55
30711861,629
30711873,0
30711873,0
30711903,0
30711903,0
30711940,124536
30711952,2586
30711976,0
30711976,0
30711990,0
30714114,0
30714114,483
30716070,0
30716070,0
30716135,0
30716135,0
30716147,0
30716147,0
30716251,0
30716251,0
30717206,0
30717206,0
30717218,4
30717243,0
30717243,0
30717292,0
30720023,0
30720023,0
30720138,0
30720138,35122
30726153,0
30726220,0
30726438,0
30726621,0
30726712,138
30726761,189
30726773,0
30726840,0
30726840,0
30726890,0
30726890,0
30726906,0
30726906,0
30726979,0
30730193,0
30730235,855
30730235,1846
30736055,0
30736067,28226
30740083,0
30740083,0
30756297,16754
30760057,2
30760057,7
30767040,0
30767441,0
30767465,0
30767477,0
30767490,0
30767520,0
30767544,0
30767544,0
30767544,0
30767581,0
30767696,0
30767891,6412
30767908,518
30768056,0
30768056,0
30768123,0
30768147,0
30768160,0
30768160,0
30768202,0
30768202,0
30768214,0
30768214,0
30768226,0
30768226,0
30768251,0
30768251,0
30768263,0
30768263,0
30768330,142
30768342,267
30768410,0
30768410,0
30768421,0
30768457,0
30768469,0
30768500,159
30768573,0
30768639,0
30768676,0
30768676,0
30768688,0
30768718,0
30768720,0
30768731,0
30768743,0
30768743,0
30768755,437
30768767,42
30768779,784
30768780,0
30768792,255
30768809,14
30768810,28
30768834,732
30768913,0
30768950,0
30768950,0
30768962,773
30768974,91
30769012,0
30769024,0
30830084,0
30900979,0
30901005,44
30901030,240
30906301,0
30906313,0
30906386,0
30906416,3
30906428,0
30906428,41
30906465,0
30906520,18
30906520,0
30906532,0
30906581,0
30906581,0
30906593,0
30906600,0
30906611,0
30906623,0
30906635,0
30906647,0
30906659,0
30906660,0
30906672,0
30906696,0
30906702,0
30907550,0
30907550,10
30907561,21
30907597,2
30907597,3
30920360,0
30920371,0
30920462,50
30920498,0
30920498,0
30920530,8
30920681,0
30920681,88
30920700,279
30920759,0
30920759,0
30920760,0
30920760,0
30920851,3301
30920863,10699
30920980,13566
30921016,124
30921028,31
30921041,0
30921065,92
30921077,717
30921089,36
30921119,280
30921119,3314
30921120,0
30921132,22
30921144,17
30921156,0
30921168,0
30921545,577
30921557,0
30921569,878
30921582,1709
30921594,0
30921594,16
30921880,0
30921880,25
30921892,5
30921971,0
30921983,0
30921983,0
30922008,0
30922010,0
30922010,0
30922033,0
30922033,8
30922045,265
30922082,0
30922094,0
30922094,0
30922100,701
30922112,137
30922136,0
30922136,0
30922150,0
30922150,0
30922161,0
30922161,0
30922173,2887
30922185,0
30922197,351
30922203,0
30922215,0
30922215,0
30922240,1475
30922276,13
30922290,497
30922306,9667
30922331,3523
30922355,0
30922355,0
30922367,83
30922379,547
30922392,0
30922409,247
30922410,0
30922410,0
30922422,0
30922422,0
30922434,0
30922446,4100
30922483,187
30922501,1451
30922525,182
30922630,0
30922630,0
30922665,964
30922677,123
30922677,587
30922689,1
30922690,0
30922690,0
30922707,0
30922707,0
30922707,0
30922719,0
30922719,0
30922720,0
30922720,0
30940485,0
30940503,0
30940667,0
30940667,0
30940771,0
30940801,0
30940801,0
30940801,0
30940825,0
30940825,0
30941040,0
30941040,0
30941313,0
30942123,0
30942123,0
30942240,0
30942240,0
30942317,0
30942317,0
30942457,0
30942548,0
30942548,0
30942597,0
30942597,0
30942688,1898
30942810,0
30943000,0
30943000,0
30943360,0
30943360,0
30943450,0
30943450,0
30943590,0
30943590,0
30943607,0
30943607,0
30943840,0
30943840,0
30944053,1
30944119,0
30944119,0
30944132,0
30944132,0
30944200,0
30944338,0
30944636,0
30944764,0
30944934,0
30944934,0
30945100,0
30945367,0
30945367,0
30945409,0
30945616,0
30945616,0
30945628,0
30945628,0
30945719,153
30945720,0
30945720,0
30946013,0
30946050,0
30946050,0
30946074,0
30946086,0
30946086,0
30946207,0
30946207,0
30946219,0
30946323,0
30946438,0
30946669,0
30946670,0
30946967,0
30946967,0
30947108,0
30947716,0
30947716,0
30948400,0
30950193,0
30950958,0
30951021,0
30951021,0
30951021,0
30951537,0
30952086,0
30952130,0
30952402,0
30952438,0
30952621,0
31000083,0
31000174,4
31000216,0
31000216,24
31000216,223
31000228,0
31000228,196
31000230,0
31000230,30
31000241,0
31000241,5
31000241,0
31000253,0
31000253,0
31000265,0
31000265,0
31000277,0
31000289,0
31000289,26
31000290,0
31000290,0
31000307,0
31000307,0
31000319,0
31000319,0
31000320,0
31000320,0
31000393,65
31000400,65
31000411,0
31000411,145
31000460,0
31000460,0
31000496,1
31000502,0
31001257,0
31001269,0
31001282,0
31001294,0
31001294,2
31001300,0
31001312,0
31001324,0
31001336,0
31001348,0
31001350,0
31001350,1
31001361,0
31001361,7
31001373,2
31001385,0
31001385,56
31001397,0
31001397,47
31001403,734
31001415,0
31001415,22
31001427,107
31001439,21
31001464,23
31001476,6
31001488,197
31001490,642
31001518,0
31001520,0
31001531,0
31001671,0
31001683,0
31001695,0
31001701,0
31001713,0
31001725,0
31001737,0
31001749,0
31001750,0
31001762,0
31001774,0
31001830,0
31010246,3162
31010350,0
31010416,3009
31010519,0
31010519,0
31010532,756
31010593,2409
31010623,24
31010660,0
31010672,44
31010684,0
31010684,0
31010696,0
31010702,0
31010714,2
31010726,0
31010738,2395
31011251,0
31011275,642
31011287,9974
31011299,3776
31011305,73
31011317,76
31011329,0
31011330,20
31011342,4128
31011354,0
31011380,0
31011391,0
31011410,81
31011421,166
31011494,49
31011536,27
31011548,1384
31011561,7449
31011597,64.625
31011603,0
31011627,0
31011639,0
31016030,11586
31020136,7159
31020150,13911
31020239,0
31020239,4299
31020240,4969
31020264,576
31020276,0
31020288,0
31020288,0
31020290,0
31020290,0
31020495,0
31020495,0
31020501,0
31020513,1555
31020537,153
31020574,0
31020598,9665
31020604,2572
31020616,0
31020616,5753
31020628,0
31020628,100
31020630,0
31020630,303
31020641,0
31020641,538
31020653,11
31020677,76
31020707,24
31020719,9
31020732,80
31020744,0
31020756,146
31020770,5
31020781,0
31020793,63
31020800,7
31020896,0
31020902,14
31020902,816
31020914,400
31020914,1375
31020926,258
31020938,421
31020940,249
31020951,1697
31020963,5
31020963,0
31020975,962
31020975,0
31020987,5
31020987,0
31020999,585
31020999,0
31021001,6266
31021013,330
31021025,0
31021037,384
31021049,0
31021050,0
31021062,84
31021062,296
31021062,0
31021074,0
31021074,182
31021074,0
31021141,30
31021177,3
31021189,2
31021335,0
31021335,0
31021347,0
31021347,0
31021359,0
31021359,0
31021360,0
31021360,0
31021372,0
31021372,0
31021384,0
31021384,0
31021396,0
31021396,0
31021414,940
31021438,0
31026138,0
31026138,123
31026138,0
31026163,0
31026163,24
31026163,35
31027064,67
31027064,322
31027076,85
31027088,298
31027090,964
31027120,345
31027120,0
31027179,0
31027179,579
31030117,51
31030154,9
31030166,242
31030178,119
31030210,1227
31030210,0
31030269,0
31030282,36
31030282,97
31030324,534
31030336,1659
31030348,3684
31030350,0
31030350,0
31030361,0
31030361,0
31030373,86
31030385,0
31030397,8
31030403,581
31030415,138
31030439,120
31030440,12
31030488,11
31030488,0
31030490,0
